geneID	geneSymbol	geneName	Pathway
102548205	LOC102548205	uncharacterized LOC102548205	NA
102548228	Bivm	basic, immunoglobulin-like variable motif containing	NA
102548231	LOC102548231	zinc finger protein 850-like	NA
102548260	LOC102548260	uncharacterized LOC102548260	NA
102548267	LOC102548267	retinoic acid early-inducible protein 1-alpha-like	NA
102548300	LOC102548300	uncharacterized LOC102548300	NA
102548331	LOC102548331	uncharacterized LOC102548331	NA
102548374	LOC102548374	uncharacterized LOC102548374	NA
102548389	LOC102548389	zinc finger protein 709-like	NA
102548409	LOC102548409	uncharacterized LOC102548409	NA
102548459	LOC102548459	wiskott-Aldrich syndrome protein family member 1-like	NA
102548472	LOC102548472	uncharacterized LOC102548472	NA
102548489	LOC102548489	uncharacterized LOC102548489	NA
102548514	LOC102548514	crooked neck-like protein 1-like	path:rno03040 Spliceosome
102548532	LOC102548532	uncharacterized LOC102548532	NA
102548586	LOC102548586	uncharacterized LOC102548586	NA
102548592	LOC102548592	uncharacterized LOC102548592	NA
102548596	LOC102548596	uncharacterized LOC102548596	NA
102548682	LOC102548682	histone H4-like	path:rno05034 Alcoholism
102548694	LOC102548694	uncharacterized LOC102548694	NA
102548702	LOC102548702	uncharacterized LOC102548702	NA
102548740	LOC102548740	uncharacterized LOC102548740	NA
102548746	LOC102548746	uncharacterized LOC102548746	NA
102548758	LOC102548758	uncharacterized LOC102548758	NA
102548785	LOC102548785	uncharacterized LOC102548785	NA
102548822	LOC102548822	uncharacterized LOC102548822	NA
102548848	LOC102548848	uncharacterized LOC102548848	NA
102548876	LOC102548876	uncharacterized LOC102548876	NA
102548917	LOC102548917	zinc finger protein 844-like	NA
102548944	LOC102548944	uncharacterized LOC102548944	NA
102548988	LOC102548988	uncharacterized LOC102548988	NA
102549016	LOC102549016	uncharacterized LOC102549016	NA
102549032	LOC102549032	uncharacterized LOC102549032	NA
102549042	LOC102549042	uncharacterized LOC102549042	NA
102549076	LOC102549076	glutathione S-transferase kappa 1-like	NA
102549097	LOC102549097	uncharacterized LOC102549097	NA
102549197	LOC102549197	uncharacterized LOC102549197	NA
102549198	LOC102549198	interferon-inducible GTPase 1-like	NA
102549203	LOC102549203	uncharacterized LOC102549203	NA
102549264	LOC102549264	uncharacterized LOC102549264	NA
102549269	LOC102549269	uncharacterized LOC102549269	NA
102549282	LOC102549282	uncharacterized LOC102549282	NA
102549303	LOC102549303	uncharacterized LOC102549303	NA
102549328	LOC102549328	uncharacterized LOC102549328	NA
102549347	LOC102549347	uncharacterized LOC102549347	NA
102549355	LOC102549355	uncharacterized LOC102549355	NA
102549407	LOC102549407	uncharacterized LOC102549407	NA
102549483	LOC102549483	uncharacterized LOC102549483	NA
102549521	LOC102549521	uncharacterized LOC102549521	NA
102549552	LOC102549552	uncharacterized LOC102549552	NA
102549553	LOC102549553	uncharacterized LOC102549553	NA
102549608	LOC102549608	uncharacterized LOC102549608	NA
102549710	Samd11	sterile alpha motif domain containing 11	NA
102549726	LOC102549726	uncharacterized LOC102549726	NA
102549836	LOC102549836	uncharacterized LOC102549836	NA
102549880	LOC102549880	uncharacterized LOC102549880	NA
102549942	LOC102549942	uncharacterized LOC102549942	NA
102550045	LOC102550045	uncharacterized LOC102550045	NA
102550189	Samd1	sterile alpha motif domain containing 1	NA
102550203	LOC102550203	zinc finger protein 120-like	NA
102550246	LOC102550246	uncharacterized LOC102550246	NA
102550290	LOC102550290	uncharacterized LOC102550290	NA
102550324	LOC102550324	uncharacterized LOC102550324	NA
102550325	LOC102550325	uncharacterized LOC102550325	NA
102550331	LOC102550331	uncharacterized LOC102550331	NA
102550344	Kmt2b	lysine (K)-specific methyltransferase 2B	path:rno00310 Lysine degradation
102550354	LOC102550354	uncharacterized LOC102550354	NA
102550366	LOC102550366	uncharacterized LOC102550366	NA
102550385	LOC102550385	LYR motif-containing protein 4-like	NA
102550392	LOC102550392	uncharacterized LOC102550392	NA
102550394	LOC102550394	uncharacterized LOC102550394	NA
102550403	LOC102550403	carcinoembryonic antigen-related cell adhesion molecule 3-like	NA
102550503	LOC102550503	uncharacterized LOC102550503	NA
102550510	LOC102550510	uncharacterized LOC102550510	NA
102550543	LOC102550543	uncharacterized LOC102550543	NA
102550580	LOC102550580	uncharacterized LOC102550580	NA
102550606	LOC102550606	serine/arginine repetitive matrix protein 1-like	NA
102550621	LOC102550621	uncharacterized LOC102550621	NA
102550682	LOC102550682	carcinoembryonic antigen-related cell adhesion molecule 5-like	NA
102550695	LOC102550695	uncharacterized LOC102550695	NA
102550699	Sprr2d	small proline-rich protein 2D	NA
102550729	LOC102550729	zinc finger protein 120-like	NA
102550747	LOC102550747	uncharacterized LOC102550747	NA
102550781	LOC102550781	uncharacterized LOC102550781	NA
102550824	LOC102550824	uncharacterized LOC102550824	NA
102550863	LOC102550863	uncharacterized LOC102550863	NA
102550895	LOC102550895	uncharacterized LOC102550895	NA
102550903	Ufsp1	UFM1-specific peptidase 1 (non-functional)	NA
102550950	LOC102550950	uncharacterized LOC102550950	NA
102550987	LOC102550987	uncharacterized LOC102550987	NA
102550999	LOC102550999	uncharacterized LOC102550999	NA
102551009	LOC102551009	uncharacterized LOC102551009	NA
102551017	LOC102551017	uncharacterized LOC102551017	NA
102551085	LOC102551085	DNA repair protein XRCC3-like	path:rno03440 Homologous recombination
102551114	LOC102551114	uncharacterized LOC102551114	NA
102551129	LOC102551129	uncharacterized LOC102551129	NA
102551140	LOC102551140	REST corepressor 3-like	NA
102551211	LOC102551211	uncharacterized LOC102551211	NA
102551251	LOC102551251	putative methyl-CpG-binding domain protein 3-like 5-like	NA
102551340	LOC102551340	zinc finger protein 728-like	NA
102551360	LOC102551360	uncharacterized LOC102551360	NA
102551387	LOC102551387	uncharacterized LOC102551387	NA
102551435	LOC102551435	endothelin-converting enzyme 2-like	NA
102551473	LOC102551473	uncharacterized LOC102551473	NA
102551541	LOC102551541	uncharacterized LOC102551541	NA
102551546	LOC102551546	uncharacterized LOC102551546	NA
102551615	LOC102551615	uncharacterized LOC102551615	NA
102551634	LOC102551634	uncharacterized LOC102551634	NA
102551705	LOC102551705	uncharacterized LOC102551705	NA
102551716	LOC102551716	sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2-like	NA
102551718	LOC102551718	uncharacterized LOC102551718	NA
102551758	LOC102551758	uncharacterized LOC102551758	NA
102551809	LOC102551809	uncharacterized LOC102551809	NA
102551819	LOC102551819	U3 small nucleolar RNA-associated protein 14 homolog B-like	path:rno03008 Ribosome biogenesis in eukaryotes
102551820	LOC102551820	uncharacterized LOC102551820	NA
102551831	LOC102551831	uncharacterized LOC102551831	NA
102551856	LOC102551856	uncharacterized LOC102551856	NA
102551899	LOC102551899	uncharacterized LOC102551899	NA
102551929	LOC102551929	melanoma-associated antigen G1-like	NA
102551963	LOC102551963	uncharacterized LOC102551963	NA
102551966	LOC102551966	uncharacterized LOC102551966	NA
102551991	LOC102551991	uncharacterized LOC102551991	NA
102552020	LOC102552020	uncharacterized LOC102552020	NA
102552061	LOC102552061	uncharacterized LOC102552061	NA
102552128	LOC102552128	late cornified envelope protein 1C-like	NA
102552219	LOC102552219	uncharacterized LOC102552219	NA
102552284	LOC102552284	zinc finger protein 420-like	NA
102552294	LOC102552294	uncharacterized LOC102552294	NA
102552326	LOC102552326	late cornified envelope protein 5A-like	NA
102552343	LOC102552343	uncharacterized LOC102552343	NA
102552344	LOC102552344	uncharacterized LOC102552344	NA
102552347	LOC102552347	uncharacterized LOC102552347	NA
102552369	LOC102552369	uncharacterized LOC102552369	NA
102552398	LOC102552398	uncharacterized LOC102552398	NA
102552463	Zfp446	zinc finger protein 446	NA
102552530	LOC102552530	uncharacterized LOC102552530	NA
102552625	LOC102552625	uncharacterized LOC102552625	NA
102552654	LOC102552654	uncharacterized LOC102552654	NA
102552664	Miat	myocardial infarction associated transcript (non-protein coding)	NA
102552669	LOC102552669	uncharacterized LOC102552669	NA
102552675	LOC102552675	uncharacterized LOC102552675	NA
102552722	LOC102552722	uncharacterized LOC102552722	NA
102552773	LOC102552773	uncharacterized LOC102552773	NA
102552794	LOC102552794	proline-rich nuclear receptor coactivator 1-like	NA
102552808	LOC102552808	uncharacterized LOC102552808	NA
102552818	LOC102552818	uncharacterized LOC102552818	NA
102552820	LOC102552820	uncharacterized LOC102552820	NA
102552830	LOC102552830	uncharacterized LOC102552830	NA
102552880	LOC102552880	uncharacterized LOC102552880	NA
102552888	LOC102552888	uncharacterized LOC102552888	NA
102552895	LOC102552895	podocan-like	NA
102552909	LOC102552909	uncharacterized LOC102552909	NA
102552920	LOC102552920	armadillo repeat-containing X-linked protein 5-like	NA
102552970	LOC102552970	uncharacterized LOC102552970	NA
102552995	LOC102552995	uncharacterized LOC102552995	NA
102553002	LOC102553002	zinc finger protein 8-like	NA
102553043	LOC102553043	uncharacterized LOC102553043	NA
102553093	LOC102553093	uncharacterized LOC102553093	NA
102553109	LOC102553109	uncharacterized LOC102553109	NA
102553131	LOC102553131	uncharacterized LOC102553131	NA
102553140	LOC102553140	uncharacterized LOC102553140	NA
102553173	LOC102553173	uncharacterized LOC102553173	NA
102553190	LOC102553190	uncharacterized LOC102553190	NA
102553264	LOC102553264	uncharacterized LOC102553264	NA
102553298	LOC102553298	uncharacterized LOC102553298	NA
102553383	LOC102553383	uncharacterized LOC102553383	NA
102553465	LOC102553465	uncharacterized LOC102553465	NA
102553502	LOC102553502	uncharacterized LOC102553502	NA
102553514	LOC102553514	uncharacterized LOC102553514	NA
102553524	LOC102553524	uncharacterized LOC102553524	NA
102553528	LOC102553528	uncharacterized LOC102553528	NA
102553536	LOC102553536	uncharacterized LOC102553536	NA
102553541	LOC102553541	uncharacterized LOC102553541	NA
102553587	Peg10	paternally expressed 10	NA
102553701	LOC102553701	uncharacterized LOC102553701	NA
102553732	LOC102553732	uncharacterized LOC102553732	NA
102553760	LOC102553760	zinc finger protein 59-like	NA
102553820	LOC102553820	uncharacterized LOC102553820	NA
102553824	LOC102553824	uncharacterized LOC102553824	NA
102553842	Hoxd11	homeobox D11	NA
102553866	LOC102553866	zinc finger protein 764-like	NA
102553868	LOC102553868	uncharacterized LOC102553868	NA
102553883	LOC102553883	sterile alpha motif domain-containing protein 9-like	NA
102553902	LOC102553902	uncharacterized LOC102553902	NA
102553917	LOC102553917	putative zinc finger protein 724-like	NA
102553921	LOC102553921	uncharacterized LOC102553921	NA
102553942	LOC102553942	uncharacterized LOC102553942	NA
102553944	LOC102553944	uncharacterized LOC102553944	NA
102553962	LOC102553962	KRAB domain-containing protein ZNF747-like	NA
102553978	LOC102553978	uncharacterized LOC102553978	NA
102553981	LOC102553981	uncharacterized LOC102553981	NA
102554026	LOC102554026	uncharacterized LOC102554026	NA
102554055	LOC102554055	uncharacterized LOC102554055	NA
102554070	LOC102554070	uncharacterized LOC102554070	NA
102554078	LOC102554078	uncharacterized LOC102554078	NA
102554082	LOC102554082	uncharacterized LOC102554082	NA
102554178	LOC102554178	uncharacterized LOC102554178	NA
102554187	LOC102554187	uncharacterized LOC102554187	NA
102554214	LOC102554214	uncharacterized LOC102554214	NA
102554233	LOC102554233	uncharacterized LOC102554233	NA
102554302	LOC102554302	zinc finger protein 688-like	NA
102554315	LOC102554315	zinc finger protein 596-like	NA
102554355	LOC102554355	uncharacterized LOC102554355	NA
102554372	LOC102554372	uncharacterized LOC102554372	NA
102554398	LOC102554398	uncharacterized LOC102554398	NA
102554403	LOC102554403	uncharacterized LOC102554403	NA
102554481	LOC102554481	uncharacterized LOC102554481	NA
102554489	LOC102554489	uncharacterized LOC102554489	NA
102554507	LOC102554507	uncharacterized LOC102554507	NA
102554570	LOC102554570	uncharacterized LOC102554570	NA
102554579	LOC102554579	uncharacterized LOC102554579	NA
102554586	LOC102554586	uncharacterized LOC102554586	NA
102554609	LOC102554609	uncharacterized LOC102554609	NA
102554622	LOC102554622	SH3 domain-binding glutamic acid-rich-like protein 2-like	NA
102554630	LOC102554630	uncharacterized LOC102554630	NA
102554639	LOC102554639	prolyl 3-hydroxylase 2-like	NA
102554645	LOC102554645	uncharacterized LOC102554645	NA
102554668	LOC102554668	uncharacterized LOC102554668	NA
102554727	LOC102554727	uncharacterized LOC102554727	NA
102554740	LOC102554740	uncharacterized LOC102554740	NA
102554754	LOC102554754	uncharacterized LOC102554754	NA
102554789	LOC102554789	uncharacterized LOC102554789	NA
102554796	LOC102554796	uncharacterized LOC102554796	NA
102554819	LOC102554819	uncharacterized LOC102554819	NA
102554860	LOC102554860	uncharacterized LOC102554860	NA
102554879	LOC102554879	uncharacterized LOC102554879	NA
102554881	LOC102554881	uncharacterized LOC102554881	NA
102554883	LOC102554883	uncharacterized LOC102554883	NA
102554884	Rcor1	REST corepressor 1	path:rno05016 Huntington's disease
102554959	LOC102554959	uncharacterized LOC102554959	NA
102554996	LOC102554996	uncharacterized LOC102554996	NA
102555030	LOC102555030	uncharacterized LOC102555030	NA
102555037	LOC102555037	uncharacterized LOC102555037	NA
102555054	LOC102555054	uncharacterized LOC102555054	NA
102555063	LOC102555063	uncharacterized LOC102555063	NA
102555078	LOC102555078	uncharacterized LOC102555078	NA
102555079	Poln	polymerase (DNA directed) nu	path:rno03460 Fanconi anemia pathway
102555086	LOC102555086	cartilage-associated protein-like	NA
102555109	LOC102555109	uncharacterized LOC102555109	NA
102555145	LOC102555145	uncharacterized LOC102555145	NA
102555173	LOC102555173	uncharacterized LOC102555173	NA
102555246	LOC102555246	uncharacterized LOC102555246	NA
102555274	LOC102555274	zinc finger protein 853-like	NA
102555298	LOC102555298	WD repeat-containing protein 90-like	NA
102555377	LOC102555377	zinc finger protein 182-like	NA
102555400	LOC102555400	uncharacterized LOC102555400	NA
102555451	LOC102555451	uncharacterized LOC102555451	NA
102555465	LOC102555465	uncharacterized LOC102555465	NA
102555472	LOC102555472	uncharacterized LOC102555472	NA
102555491	LOC102555491	uncharacterized LOC102555491	NA
102555503	LOC102555503	uncharacterized LOC102555503	NA
102555525	LOC102555525	uncharacterized LOC102555525	NA
102555574	LOC102555574	uncharacterized LOC102555574	NA
102555617	LOC102555617	uncharacterized LOC102555617	NA
102555635	LOC102555635	zinc finger protein 39-like	NA
102555688	LOC102555688	probable G-protein coupled receptor 173-like	NA
102555690	LOC102555690	uncharacterized LOC102555690	NA
102555739	LOC102555739	uncharacterized LOC102555739	NA
102555751	LOC102555751	uncharacterized LOC102555751	NA
102555756	LOC102555756	uncharacterized LOC102555756	NA
102555762	LOC102555762	uncharacterized LOC102555762	NA
102555788	LOC102555788	uncharacterized LOC102555788	NA
102555797	LOC102555797	uncharacterized LOC102555797	NA
102555810	LOC102555810	uncharacterized LOC102555810	NA
102555825	LOC102555825	uncharacterized LOC102555825	NA
102555876	LOC102555876	uncharacterized LOC102555876	NA
102555911	LOC102555911	uncharacterized LOC102555911	NA
102555913	LOC102555913	uncharacterized LOC102555913	NA
102555995	LOC102555995	uncharacterized LOC102555995	NA
102556004	LOC102556004	uncharacterized LOC102556004	NA
102556054	LOC102556054	uncharacterized LOC102556054	NA
102556092	LOC102556092	uncharacterized LOC102556092	NA
102556093	LOC102556093	uncharacterized LOC102556093	NA
102556108	LOC102556108	uncharacterized LOC102556108	NA
102556119	Znf354b	zinc finger protein 354B	NA
102556148	LOC102556148	probable N-acetyltransferase CML2-like	path:rno00480 Glutathione metabolism
102556209	LOC102556209	uncharacterized LOC102556209	NA
102556224	LOC102556224	uncharacterized LOC102556224	NA
102556249	LOC102556249	uncharacterized LOC102556249	NA
102556259	LOC102556259	uncharacterized LOC102556259	NA
102556277	LOC102556277	LEM domain-containing protein 1-like	NA
102556290	LOC102556290	nipped-B-like protein B-like	NA
102556412	LOC102556412	uncharacterized LOC102556412	NA
102556416	LOC102556416	uncharacterized LOC102556416	NA
102556459	LOC102556459	zinc finger protein 99-like	NA
102556470	LOC102556470	uncharacterized LOC102556470	NA
102556485	LOC102556485	uncharacterized LOC102556485	NA
